"ID","locHistory_Catchment","locHistory_LocationName","locHistory_SiteCode","locHistory_GridReference","locHistory_Date","locHistory_AssetID","locHistory_MovementType","locHistory_Date_End","locHistory_Sensor_Height","locHistory_Canopy_Height_At_Install","locHistory_Sensor_Depth","locHistory_Instrument_In_Use","locHistory_Notes","locHistory_DistFromInlet","locHistory_Datum","locHistory_DistFromDatum","locHistory_Sensor firmware","locHistory_Vertical offset","locHistory_North offset","locHistory_East offset","locHistory_Azimuth","locHistory_CPEC_Pump_Flow_Rate"
108,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,746,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
109,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,707,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
110,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1530,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
111,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1552,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
112,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1557,,,300.00,10.00,0.00,,,0.00,0.00,0.00,,,,,,
113,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1558,,,300.00,10.00,0.00,,,0.00,0.00,0.00,,,,,,
114,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1559,,,300.00,10.00,0.00,"Yes",,0.00,0.00,0.00,,"-15","8","12","225 dgrees",
115,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1560,,,0.00,,0.00,,,0.00,0.00,0.00,,,,,,
116,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1561,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
117,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1562,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
118,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1563,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
119,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1564,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
120,,,"xx-UKCEH_Wallingford",,16/02/2026 00:00:00,1565,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
