FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
PRECIP_INT_FLAG_DEF,RainE_Int_1m_INFILL_FLAG,fdri_infill_flag_scheme
PRECIP_INT_FLAG_DEF,RainE_Int_1m_QC_FLAG,fdri_quality_control_flag_scheme
PRECIP_INT_HR_FLAG_DEF,RainE_Int_1m_hr_CORE_FLAG,core_flag_scheme
PRECIP_INT_HR_FLAG_DEF,RainE_Int_1m_hr_CORRS_FLAG,fdri_correction_flag_scheme
PRECIP_INT_HR_FLAG_DEF,RainE_Int_1m_hr_INFILL_FLAG,fdri_infill_flag_scheme
PRECIP_INT_HR_FLAG_DEF,RainE_Int_1m_hr_QC_FLAG,fdri_quality_control_flag_scheme
PRECIP_INT_LR_FLAG_DEF,RainE_Int_lr_CORE_FLAG,core_flag_scheme
PRECIP_INT_LR_FLAG_DEF,RainE_Int_lr_CORRS_FLAG,fdri_correction_flag_scheme
PRECIP_INT_LR_FLAG_DEF,RainE_Int_lr_INFILL_FLAG,fdri_infill_flag_scheme
PRECIP_INT_LR_FLAG_DEF,RainE_Int_lr_QC_FLAG,fdri_quality_control_flag_scheme
PRECIP_INT_LR_HR_FLAG_DEF,RainE_Int_lr_hr_CORE_FLAG,core_flag_scheme
PRECIP_INT_LR_HR_FLAG_DEF,RainE_Int_lr_hr_CORRS_FLAG,fdri_correction_flag_scheme
PRECIP_INT_LR_HR_FLAG_DEF,RainE_Int_lr_hr_INFILL_FLAG,fdri_infill_flag_scheme
PRECIP_INT_LR_HR_FLAG_DEF,RainE_Int_lr_hr_QC_FLAG,fdri_quality_control_flag_scheme
PRECIP_TOT_FLAG_DEF,RainE_Precip_Tot_CORE_FLAG,core_flag_scheme
PRECIP_TOT_FLAG_DEF,RainE_Precip_Tot_CORRS_FLAG,fdri_correction_flag_scheme
PRECIP_TOT_FLAG_DEF,RainE_Precip_Tot_INFILL_FLAG,fdri_infill_flag_scheme
PRECIP_TOT_FLAG_DEF,RainE_Precip_Tot_QC_FLAG,fdri_quality_control_flag_scheme
RADAR_TEMP_FLAG_DEF,Inst_Temp_CORE_FLAG,core_flag_scheme
RADAR_TEMP_FLAG_DEF,Inst_Temp_CORRS_FLAG,fdri_correction_flag_scheme
RADAR_TEMP_FLAG_DEF,Inst_Temp_INFILL_FLAG,fdri_infill_flag_scheme
RADAR_TEMP_FLAG_DEF,Inst_Temp_QC_FLAG,fdri_quality_control_flag_scheme
RH_FLAG_DEF,RH_CORE_FLAG,core_flag_scheme
RH_FLAG_DEF,RH_CORRS_FLAG,fdri_correction_flag_scheme
RH_FLAG_DEF,RH_INFILL_FLAG,fdri_infill_flag_scheme
RH_FLAG_DEF,RH_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_10CM_BULKEC_FLAG_DEF,SoilVUE_1_10cm_avg_BulkEC_CORE_FLAG,core_flag_scheme
SOILVUE_10CM_BULKEC_FLAG_DEF,SoilVUE_1_10cm_avg_BulkEC_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_10CM_BULKEC_FLAG_DEF,SoilVUE_1_10cm_avg_BulkEC_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_10CM_BULKEC_FLAG_DEF,SoilVUE_1_10cm_avg_BulkEC_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_10CM_KA_FLAG_DEF,SoilVUE_1_10cm_avg_Ka_CORE_FLAG,core_flag_scheme
SOILVUE_10CM_KA_FLAG_DEF,SoilVUE_1_10cm_avg_Ka_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_10CM_KA_FLAG_DEF,SoilVUE_1_10cm_avg_Ka_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_10CM_KA_FLAG_DEF,SoilVUE_1_10cm_avg_Ka_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_10CM_TEMP_FLAG_DEF,SoilVUE_1_10cm_avg_T_CORE_FLAG,core_flag_scheme
SOILVUE_10CM_TEMP_FLAG_DEF,SoilVUE_1_10cm_avg_T_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_10CM_TEMP_FLAG_DEF,SoilVUE_1_10cm_avg_T_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_10CM_TEMP_FLAG_DEF,SoilVUE_1_10cm_avg_T_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_10CM_VWC_FLAG_DEF,SoilVUE_1_10cm_avg_VWC_CORE_FLAG,core_flag_scheme
SOILVUE_10CM_VWC_FLAG_DEF,SoilVUE_1_10cm_avg_VWC_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_10CM_VWC_FLAG_DEF,SoilVUE_1_10cm_avg_VWC_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_10CM_VWC_FLAG_DEF,SoilVUE_1_10cm_avg_VWC_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_20CM_BULKEC_FLAG_DEF,SoilVUE_1_20cm_avg_BulkEC_CORE_FLAG,core_flag_scheme
SOILVUE_20CM_BULKEC_FLAG_DEF,SoilVUE_1_20cm_avg_BulkEC_CORRS_FLAG,fdri_correction_flag_scheme
SOILVUE_20CM_BULKEC_FLAG_DEF,SoilVUE_1_20cm_avg_BulkEC_INFILL_FLAG,fdri_infill_flag_scheme
SOILVUE_20CM_BULKEC_FLAG_DEF,SoilVUE_1_20cm_avg_BulkEC_QC_FLAG,fdri_quality_control_flag_scheme
SOILVUE_20CM_KA_FLAG_DEF,SoilVUE_1_20cm_avg_Ka_CORE_FLAG,core_flag_scheme
