FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
LWOUT_MULT_FLAG_DEF,LWOUT_MULT_QC_FLAG,cosmos_quality_control_flag_scheme
LWOUT_MULT_FLAG_DEF,LWOUT_MULT_INFILL_FLAG,cosmos_infill_flag_scheme
MSLP_FLAG_DEF,MSLP_CORE_FLAG,core_flag_scheme
MSLP_FLAG_DEF,MSLP_CORRS_FLAG,cosmos_correction_flag_scheme
MSLP_FLAG_DEF,MSLP_QC_FLAG,cosmos_quality_control_flag_scheme
MSLP_FLAG_DEF,MSLP_INFILL_FLAG,cosmos_infill_flag_scheme
PA_FLAG_DEF,PA_CORE_FLAG,core_flag_scheme
PA_FLAG_DEF,PA_CORRS_FLAG,cosmos_correction_flag_scheme
PA_FLAG_DEF,PA_QC_FLAG,cosmos_quality_control_flag_scheme
PA_FLAG_DEF,PA_INFILL_FLAG,cosmos_infill_flag_scheme
PE_FLAG_DEF,PE_CORE_FLAG,core_flag_scheme
PE_FLAG_DEF,PE_CORRS_FLAG,cosmos_correction_flag_scheme
PE_FLAG_DEF,PE_QC_FLAG,cosmos_quality_control_flag_scheme
PE_FLAG_DEF,PE_INFILL_FLAG,cosmos_infill_flag_scheme
PRECIP_FLAG_DEF,PRECIP_CORE_FLAG,core_flag_scheme
PRECIP_FLAG_DEF,PRECIP_CORRS_FLAG,cosmos_correction_flag_scheme
PRECIP_FLAG_DEF,PRECIP_QC_FLAG,cosmos_quality_control_flag_scheme
PRECIP_FLAG_DEF,PRECIP_INFILL_FLAG,cosmos_infill_flag_scheme
PRECIP_RAINE_FLAG_DEF,PRECIP_RAINE_CORE_FLAG,core_flag_scheme
PRECIP_RAINE_FLAG_DEF,PRECIP_RAINE_CORRS_FLAG,cosmos_correction_flag_scheme
PRECIP_RAINE_FLAG_DEF,PRECIP_RAINE_QC_FLAG,cosmos_quality_control_flag_scheme
PRECIP_RAINE_FLAG_DEF,PRECIP_RAINE_INFILL_FLAG,cosmos_infill_flag_scheme
PRECIP_TIPPING_FLAG_DEF,PRECIP_TIPPING_CORE_FLAG,core_flag_scheme
PRECIP_TIPPING_FLAG_DEF,PRECIP_TIPPING_CORRS_FLAG,cosmos_correction_flag_scheme
PRECIP_TIPPING_FLAG_DEF,PRECIP_TIPPING_QC_FLAG,cosmos_quality_control_flag_scheme
PRECIP_TIPPING_FLAG_DEF,PRECIP_TIPPING_INFILL_FLAG,cosmos_infill_flag_scheme
PRECIP_TIPPING_A_FLAG_DEF,PRECIP_TIPPING_A_CORE_FLAG,core_flag_scheme
PRECIP_TIPPING_A_FLAG_DEF,PRECIP_TIPPING_A_CORRS_FLAG,cosmos_correction_flag_scheme
PRECIP_TIPPING_A_FLAG_DEF,PRECIP_TIPPING_A_QC_FLAG,cosmos_quality_control_flag_scheme
PRECIP_TIPPING_A_FLAG_DEF,PRECIP_TIPPING_A_INFILL_FLAG,cosmos_infill_flag_scheme
PRECIP_TIPPING_B_FLAG_DEF,PRECIP_TIPPING_B_CORE_FLAG,core_flag_scheme
PRECIP_TIPPING_B_FLAG_DEF,PRECIP_TIPPING_B_CORRS_FLAG,cosmos_correction_flag_scheme
PRECIP_TIPPING_B_FLAG_DEF,PRECIP_TIPPING_B_QC_FLAG,cosmos_quality_control_flag_scheme
PRECIP_TIPPING_B_FLAG_DEF,PRECIP_TIPPING_B_INFILL_FLAG,cosmos_infill_flag_scheme
PROFILE_VWC15_FLAG_DEF,PROFILE_VWC15_CORE_FLAG,core_flag_scheme
PROFILE_VWC15_FLAG_DEF,PROFILE_VWC15_CORRS_FLAG,cosmos_correction_flag_scheme
